team_id,season,total_games,b2b_games
1610612737,2013-14,82,21
1610612737,2014-15,82,21
1610612737,2015-16,82,19
1610612737,2016-17,82,18
1610612737,2017-18,82,15
1610612737,2018-19,82,12
1610612738,2013-14,82,20
1610612738,2014-15,82,18
1610612738,2015-16,82,19
1610612738,2016-17,82,17
1610612738,2017-18,82,14
1610612738,2018-19,82,13
1610612739,2013-14,82,20
1610612739,2014-15,82,20
1610612739,2015-16,82,19
1610612739,2016-17,82,18
1610612739,2017-18,82,13
1610612739,2018-19,82,14
1610612740,2013-14,82,19
1610612740,2014-15,82,20
1610612740,2015-16,82,17
1610612740,2016-17,82,17
1610612740,2017-18,82,15
1610612740,2018-19,82,13
1610612741,2013-14,82,17
1610612741,2014-15,82,20
1610612741,2015-16,82,17
1610612741,2016-17,82,17
1610612741,2017-18,82,14
1610612741,2018-19,82,14
1610612742,2013-14,82,16
1610612742,2014-15,82,17
1610612742,2015-16,82,17
1610612742,2016-17,82,15
1610612742,2017-18,82,15
1610612742,2018-19,82,14
1610612743,2013-14,82,14
1610612743,2014-15,82,21
1610612743,2015-16,82,16
1610612743,2016-17,82,17
1610612743,2017-18,82,14
1610612743,2018-19,82,13
1610612744,2013-14,82,15
1610612744,2014-15,82,19
1610612744,2015-16,82,20
1610612744,2016-17,82,17
1610612744,2017-18,82,14
1610612744,2018-19,82,13
1610612745,2013-14,82,20
1610612745,2014-15,82,20
1610612745,2015-16,82,20
1610612745,2016-17,82,16
1610612745,2017-18,82,14
1610612745,2018-19,82,12
1610612746,2013-14,82,17
1610612746,2014-15,82,20
1610612746,2015-16,82,20
1610612746,2016-17,82,18
1610612746,2017-18,82,14
1610612746,2018-19,82,14
1610612747,2013-14,82,19
1610612747,2014-15,82,16
1610612747,2015-16,82,18
1610612747,2016-17,82,16
1610612747,2017-18,82,13
1610612747,2018-19,82,13
1610612748,2013-14,82,17
1610612748,2014-15,82,17
1610612748,2015-16,82,17
1610612748,2016-17,82,15
1610612748,2017-18,82,13
1610612748,2018-19,82,12
1610612749,2013-14,82,21
1610612749,2014-15,82,21
1610612749,2015-16,82,20
1610612749,2016-17,82,18
1610612749,2017-18,82,15
1610612749,2018-19,82,13
1610612750,2013-14,82,21
1610612750,2014-15,82,19
1610612750,2015-16,82,14
1610612750,2016-17,82,15
1610612750,2017-18,82,15
1610612750,2018-19,82,13
1610612751,2013-14,82,20
1610612751,2014-15,82,19
1610612751,2015-16,82,15
1610612751,2016-17,82,14
1610612751,2017-18,82,15
1610612751,2018-19,82,14
1610612752,2013-14,82,18
1610612752,2014-15,82,21
1610612752,2015-16,82,17
1610612752,2016-17,82,15
1610612752,2017-18,82,14
1610612752,2018-19,82,15
1610612753,2013-14,82,18
1610612753,2014-15,82,17
1610612753,2015-16,82,19
1610612753,2016-17,82,15
1610612753,2017-18,82,15
1610612753,2018-19,82,14
1610612754,2013-14,82,20
1610612754,2014-15,82,18
1610612754,2015-16,82,17
1610612754,2016-17,82,17
1610612754,2017-18,82,14
1610612754,2018-19,82,14
1610612755,2013-14,82,20
1610612755,2014-15,82,21
1610612755,2015-16,82,19
1610612755,2016-17,82,18
1610612755,2017-18,82,14
1610612755,2018-19,82,13
1610612756,2013-14,82,18
1610612756,2014-15,82,18
1610612756,2015-16,82,14
1610612756,2016-17,82,14
1610612756,2017-18,82,15
1610612756,2018-19,82,12
1610612757,2013-14,82,19
1610612757,2014-15,82,19
1610612757,2015-16,82,19
1610612757,2016-17,82,15
1610612757,2017-18,82,15
1610612757,2018-19,82,12
1610612758,2013-14,82,19
1610612758,2014-15,82,18
1610612758,2015-16,82,19
1610612758,2016-17,82,19
1610612758,2017-18,82,16
1610612758,2018-19,82,14
1610612759,2013-14,82,19
1610612759,2014-15,82,21
1610612759,2015-16,82,17
1610612759,2016-17,82,15
1610612759,2017-18,82,14
1610612759,2018-19,82,13
1610612760,2013-14,82,15
1610612760,2014-15,82,18
1610612760,2015-16,82,16
1610612760,2016-17,82,15
1610612760,2017-18,82,14
1610612760,2018-19,82,12
1610612761,2013-14,82,18
1610612761,2014-15,82,19
1610612761,2015-16,82,17
1610612761,2016-17,82,17
1610612761,2017-18,82,14
1610612761,2018-19,82,12
1610612762,2013-14,82,21
1610612762,2014-15,82,19
1610612762,2015-16,82,18
1610612762,2016-17,82,17
1610612762,2017-18,82,16
1610612762,2018-19,82,14
1610612763,2013-14,82,18
1610612763,2014-15,82,20
1610612763,2015-16,82,18
1610612763,2016-17,82,17
1610612763,2017-18,82,16
1610612763,2018-19,82,13
1610612764,2013-14,82,20
1610612764,2014-15,82,19
1610612764,2015-16,82,20
1610612764,2016-17,82,16
1610612764,2017-18,82,15
1610612764,2018-19,82,15
1610612765,2013-14,82,20
1610612765,2014-15,82,22
1610612765,2015-16,82,20
1610612765,2016-17,82,17
1610612765,2017-18,82,14
1610612765,2018-19,82,13
1610612766,2013-14,82,22
1610612766,2014-15,82,22
1610612766,2015-16,82,16
1610612766,2016-17,82,16
1610612766,2017-18,82,14
1610612766,2018-19,82,15
